author,year_published,country,time_period_studied,age_range_studied,number_of_children_in_population,criteria_used,methodology_used,asd_prevalence,iq_lt_70
"Lotter","1966","England","1964","8 to 10","78,000","Kanner","Case enumeration and direct exam","0.45 (0.31- 0.62)","84"
"Brask","1970","Denmark","1962","2 to 14","46,500","Kanner","Case enumeration","0.43 (0.26- 0.66)","NR"
"Treffert","1970","USA","1962-1967","3 to 12","899,750","Kanner","Case enumeration","0.07-0.31 (0.0-1.0)","NR"
"Wing & Gould","1979","England","1970","0 to 14","35,000","Kanner","Case enumeration and direct exam","0.49 (0.29- 0.78)","70"
"Hoshino et al. (1)","1982","Japan","1977","0 to 17","234,039","Kanner","Case enumeration and direct exam","0.23 (0.19- 0.27)","NR"
"Ishii & Takahashi","1983","Japan","1981","6 to 12","35,000","Rutter","Case enumeration and direct exam","1.6 (1.2- 2.8)","NR"
"Bohman et al.","1983","Sweden","1979","0 to 20","69,000","Rutter","Case enumeration and direct exam","0.3 (0.2- 0.5)","NR"
"McCarthy et al.","1984","Ireland","1978","8 to 10","65,000","Kanner","Case enumeration and direct exam","0.43 (0.29- 0.59)","NR"
"Gillberg","1984","Sweden","1980","4 to 18","128,584","DSM-III","Case enumeration and direct exam","0.20 (0.13- 0.30)","80,77"
"Steinhausen et al.","1986","Germany","1982","0 to 14","279,616","Rutter","Case enumeration and direct exam","0.19 (0.14- 0.24)","44"
"Steffenberg & Gillberg","1986","Sweden","1984","<10","78,413","DSM-III","Case enumeration and direct exam","0.45 (0.31- 0.62)","NR"
"Matsuishi et al.","1987","Japan","1983","4 to 12","32,834","DSM-III","Case enumeration and direct exam","1.55 (1.16- 1.64)","NR"
"Burd et al.","1987","USA","1985","2 to 18","180,986","DSM-III","Case enumeration and direct exam","0.12 (0.00- 0.20)","NR"
"Bryson et al.","1988","Canada","1985","6 to 14","20,800","DSM-III","Case enumeration and direct exam","1.01 (0.62- 1.54)","76"
"Tanoue et al.","1988","Japan","1977-1985","3 to 7","95,394","DSM-III","Case enumeration","1.38 (1.16- 1.64)","NR"
"Ciadella & Mamelle","1989","France","1986","3 to 9","135,180","DSM-III","Case enumeration","0.51 (0.39- 0.63)","NR"
